seed,RUNTIME_IF_NO_EXTERNAL_TEMP_DATA,BURNIN,LOGINTERVAL,N_POP,MU,RECOMBINATION_RATE,RECOVERY,GEN_LEN_DEPENDS_ON_TEMP,FIXED_GEN_LEN,USE_EXTERNAL_TEMP_DATA,TEMPDATA_PATH,MEAN_TEMP,STDEV_TEMP_POP,STDEV_TEMP_INDIVIDUAL,NUM_DAYS_TO_REPEAT,NUM_REP_TEMP_DATA,B_default,CTmin_default,B_critical,DeltaB,CTmin_critical,DeltaCTmin,CTmax_critical,DeltaCTmax,OUTDIR,OUTNAME
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9
7,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9
8,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1
