seed,RUNTIME_IF_NO_EXTERNAL_TEMP_DATA,BURNIN,LOGINTERVAL,N_POP,MU,RECOMBINATION_RATE,RECOVERY,GEN_LEN_DEPENDS_ON_TEMP,FIXED_GEN_LEN,USE_EXTERNAL_TEMP_DATA,TEMPDATA_PATH,MEAN_TEMP,STDEV_TEMP_POP,STDEV_TEMP_INDIVIDUAL,NUM_DAYS_TO_REPEAT,NUM_REP_TEMP_DATA,B_default,CTmin_default,B_critical,DeltaB,CTmin_critical,DeltaCTmin,CTmax_critical,DeltaCTmax,OUTDIR,OUTNAME
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_9
9,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_9
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_10
10,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_10
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_11
11,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_11
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_12
12,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_12
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_13
13,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_13
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_14
14,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_14
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_15
15,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_15
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_16
16,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_16
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_17
17,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_17
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.94427190999916,4.472135954999578,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.8_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,9.486832980505138,3.1622776601683795,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.9_seed_18
18,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,10.0,0.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_1.0_seed_18
19,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,0.0,10.0,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.0_seed_19
19,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,3.1622776601683795,9.486832980505138,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.1_seed_19
19,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,4.47213595499958,8.94427190999916,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.2_seed_19
19,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,5.477225575051662,8.366600265340754,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.30000000000000004_seed_19
19,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,6.324555320336759,7.745966692414833,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.4_seed_19
19,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.0710678118654755,7.071067811865475,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.5_seed_19
19,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,7.745966692414834,6.324555320336758,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.6000000000000001_seed_19
19,20000,5000,1,5000,1e-07,1e-08,F,F,10,F,./VT_weather.txt,35,8.366600265340756,5.477225575051661,365,2,31,5,40,2,0,2,40,0.2,/scratch/j.min/TPC_evol_SLiM,include_STDEV_POP_prop_0.7000000000000001_seed_19
